,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
65,Laptop MSI Gaming Alpha 15 B5eek 203VN,25990000,MSI,8,15.6,1920x1080,INTEL,,2,5,2.35,WINDOW,512
66,Laptop HP 15-EF2126WM 4J771UA,13490000,HP,8,15.6,1920x1080,INTEL,41.0,3,4,1.69,WINDOW,256
67,Macbook Pro 16 M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam,92990000,APPLE,32,16.2,3456x2234,INTEL,,,5,2.1,MACOS,1024
68,Laptop Asus Vivobook Flip 14 TP470EA EC346W,13790000,ASUS,4,14.0,1920x1080,INTEL,42.0,3,5,1.5,WINDOW,512
69,Laptop Asus Zenbook UX482EA KA397W,28490000,ASUS,8,14.0,1920x1080,INTEL,70.0,4,5,1.57,WINDOW,512
70,Apple MacBook Pro 13 Touch Bar M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam,34990000,APPLE,16,13.3,2560x1600,,,,5,1.4,MACOS,256
71,Laptop Asus Vivobook X515EA EJ1046W,14690000,ASUS,8,15.6,1920x1080,INTEL,37.0,2,4,1.8,WINDOW,512
72,Laptop Asus Vivobook Pro M3401QA KM040W,19490000,ASUS,8,14.0,2880x1800,INTEL,63.0,3,5,1.4,WINDOW,512
73,Apple MacBook Pro 13 Touch Bar M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,40290000,APPLE,16,13.3,2560x1600,,,,5,1.4,MACOS,512
74,Laptop ASUS ZenBook Flip UX363EA,29790000,ASUS,16,13.3,1920x1080,INTEL,67.0,4,5,1.3,WINDOW,512
75,Laptop HP Envy 13-BA1537TU 4U6P0PA,19690000,HP,8,13.3,1920x1080,INTEL,51.0,3,5,1.3,WINDOW,256
76,Laptop Lenovo Ideapad 3 15ALC6,14490000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.65,WINDOW,256
77,Laptop Lenovo Idepad 5 Pro 16ACH6 82L50095VN,22890000,LENOVO,8,16.0,2560x1600,INTEL,75.0,4,5,1.9,WINDOW,512
78,HP Pavilion 15 EG0507TU 46M06PA,17190000,HP,8,15.6,1920x1080,INTEL,41.0,3,5,1.682,WINDOW,256
79,Laptop Asus Rog Strix G15 G513IM HN008W,28790000,ASUS,16,15.6,1920x1080,INTEL,,,,2.1,WINDOW,512
80,Surface Pro 7 Core i3 / 4GB / 128GB Nhập Khẩu Chính Hãng,15990000,MICROSOFT,4,12.3,2736x1824,INTEL,2.0,,5,,,128
81,Laptop Asus Vivobook M7400QC KM013W,24990000,ASUS,16,14.0,2880x1800,INTEL,63.0,3,5,1.45,WINDOW,512
82,Laptop Fujitsu UH X 9U13A2 4ZR1G97610,26490000,FUJITSU,16,13.3,1920x1080,INTEL,25.0,2,5,,WINDOW,1024
83,Mac Studio 2022 M1 Ultra | Chính hãng Apple Việt Nam,105990000,APPLE,64,,,INTEL,,,5,3.6,,1024
84,Laptop Lenovo ideapad 3 15ITL6 82H800M5VN,11490000,LENOVO,8,15.6,1920x1080,INTEL,38.0,,5,1.41,WINDOW,256
85,Laptop Dell Gaming G5 5510,19990000,DELL,8,15.6,1920x1080,INTEL,56.0,3,5,2.65,WINDOW,256
86,Laptop Lenovo Legion 5 15ITH6H 82JH002WVN,34990000,LENOVO,16,15.6,1920x1080,INTEL,80.0,4,5,2.4,WINDOW,512
87,Surface Laptop Go 12.4 Nhập Khẩu Chính Hãng,14690000,MICROSOFT,4,12.4,1536x1024,INTEL,,,5,,WINDOW,64
88,Apple MacBook Air M1 512GB 2020 I Chính hãng Apple Việt Nam,29890000,APPLE,8,13.3,2560x1600,,,,5,1.29,MACOS,512
