Title,Price sale,Price origin,Màn hình,CPU,RAM,Ổ cứng,Đồ họa,Hệ điều hành,Trọng lượng,Kích thước,Xuất xứ,Năm ra mắt,urlre","AMD, Ryzen 5, 7520U","8 GB (1 thanh 8 GB), DDR4",SSD 256 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.36 kg,32.4 x 21.5 x 1.79 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt
"Laptop Dell Inspiron 15 N3530 i7 1355U/16GB/512GB/15.6""FHD/NVIDIA MX550 2GB/Win11/Office HS21 (No.00902024)",25.290.000₫,25.490.000₫,"15.6 inch, 1920 x 1080 Pixels, WVA, 120 Hz, 250 nits, Anti-Glare LED-Backlit Display","Intel, Core i7, 1355U","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,,Windows 11 Home Single Language,1.65 ,"358,50 x 234,90 x 17,50 ",Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3530-i7-1355u-mx550
"Laptop MSI Gaming GF63 12UCX-841VN i5 12450H/8GB/512GB/15.6"" FHD/RTX2050_4GB/Win11 (No.00902058)",17.990.000₫,,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, FHD","Intel, Core i5, 12450H","8 GB, DDR4",SSD 512 GB,NVIDIA Geforce RTX 2050 4GB,Windows 11,1.86 kg,359 x 254 x 21.7 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-12ucx-841vn-i5-12450h
Laptop Acer Aspire 7 Gaming A715-76G-5806 i5 12450H/16GB/512GB/NVIDIA RTX3050 4GB/Win11 (No.00902037),19.990.000₫,22.990.000₫,"15.6  Chính: inch, 1920 x 1080 Pixels, IPS, 144  Màn hình chính: Hz, Acer ComfyView LED-backlit","Intel, Core i5, 12450H","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home Single Language,2.1 kg,36.23 x 23.74 x 1.99  (W x D x H) cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-5806-i5-12450h
"Laptop Acer Aspire Lite AL15-51M-55NB i5-1155G7/8GB/512GB/15.6""FHD/Win11 (No.00906442)",12.990.000₫,,"15.6 inch, 1920 x 1080 Pixels, IPS, 60, FHD","Intel, Core i5, 1155G7","8 GB, DDR4",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,360.4 x 239.3 x 19.7 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-al15-51m-55nb-i5-1155g7
"Laptop Gigabyte Gaming G5 MF-F2VN313SH i5 12450H/16GB/512GB/15.6""FHD/Geforce RTX4050 6GB/Win11 (No.00881860)",23.290.000₫,,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-Glare","Intel, Core i5, 12450H","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,1.9 kg,360(W) x 238(D) x  227(H) mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-mf-f2vn313sh-i5-12450h
,,,,,,,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1405va-km059w-i5-13500h
Laptop Asus TUF Gaming FA507NU-LP045W R7 7735HS/16GB/512GB/15.6''/Nvidia RTX 4050 6GB/Win11 (No.00904948),23.490.000₫,27.990.000₫,"15.6 inch, FHD (1920 x 1080), IPS, 144 Hz, FHD","AMD, Ryzen 7, 7735HS","16 GB (2 thanh 8 GB), DDR5",SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6,Không,2.2 kg,35.4 x 25.1 x 2.24 ~ 2.49 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa507nu-lp045w-r7-7735hs
"Laptop Asus Vivobook Pro K3405VC-KM070W i9 13900H/16GB/512GB/14"" OLED 2.8K/GeForce RTX3050 4GB/Win11 (No.00879631)",26.490.000₫,33.990.000₫,"14.0 inch, 2880 x 1800 Pixels, IPS, 90 Hz, OLED","Intel, Core i9, 13900H","16 GB (2 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home,1400 g,31.71 x 22.25 x 1.89 ~ 1.89 cm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-k3405vc-km070w-i9-13900h
"Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/8GB/512GB/14""FHD/Win 11 (No.00906643)",12.690.000₫,16.990.000₫,"14 inch, 1920 x 1080 Pixels, IPS, 240, 300 nits, IPS LCD","AMD, Ryzen 5, 7530U","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.17 kg,324.1x215.7x17.1 mm,Trung Quốc,2023,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-light-14abr8-r5-7530u
"Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11 (No.00807493)",21.990.000₫,,"15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, Anti-glare LED-backlit","Intel, Core i5, 11400H","8 GB (1 thanh 8 GB), DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11,2.3 kg,359.0 x 256.0 x 22.8 mm,Trung Quốc,2022,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hc-hn144w-i5-11400h
